|          x           |          y           |  zx   |  nx   |  zy   |  ny   |   f   |  n0   |  zr   |  ng   |         out          |
|   0101010101010101   |   0010101010101010   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0000000000000001   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   1   |   0   |   1   |   0   |   0   |   1   |   1111111111111111   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   1   |   1   |   0   |   0   |   0   |   0   |   0101010101010101   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   0   |   0010101010101010   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   1   |   1   |   0   |   1   |   0   |   1   |   1010101010101010   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   0   |   0   |   0   |   1   |   0   |   1   |   1101010101010101   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   1   |   1   |   1   |   1   |   0   |   1   |   1010101010101011   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   0   |   0   |   1   |   1   |   0   |   1   |   1101010101010110   |
|   0101010101010101   |   0010101010101010   |   0   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0101010101010110   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   0   |   1   |   1   |   1   |   0   |   0   |   0010101010101011   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   1   |   1   |   1   |   0   |   0   |   0   |   0101010101010100   |
|   0101010101010101   |   0010101010101010   |   1   |   1   |   0   |   0   |   1   |   0   |   0   |   0   |   0010101010101001   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0111111111111111   |
|   0101010101010101   |   0010101010101010   |   0   |   1   |   0   |   0   |   1   |   1   |   0   |   0   |   0010101010101011   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   0   |   1   |   1   |   1   |   0   |   1   |   1101010101010101   |
|   0101010101010101   |   0010101010101010   |   0   |   0   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000000000   |
|   0101010101010101   |   0010101010101010   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   0   |   0111111111111111   |
|   0101010101010101   |   1101010101010110   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0000000000000001   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   1   |   0   |   1   |   0   |   0   |   1   |   1111111111111111   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   1   |   1   |   0   |   0   |   0   |   0   |   0101010101010101   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   0   |   0   |   0   |   0   |   0   |   1   |   1101010101010110   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   1   |   1   |   0   |   1   |   0   |   1   |   1010101010101010   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   0   |   0   |   0   |   1   |   0   |   0   |   0010101010101001   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   1   |   1   |   1   |   1   |   0   |   1   |   1010101010101011   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   0   |   0   |   1   |   1   |   0   |   0   |   0010101010101010   |
|   0101010101010101   |   1101010101010110   |   0   |   1   |   1   |   1   |   1   |   1   |   0   |   0   |   0101010101010110   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   0   |   1   |   1   |   1   |   0   |   1   |   1101010101010111   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   1   |   1   |   1   |   0   |   0   |   0   |   0101010101010100   |
|   0101010101010101   |   1101010101010110   |   1   |   1   |   0   |   0   |   1   |   0   |   0   |   1   |   1101010101010101   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   0   |   0   |   1   |   0   |   0   |   0   |   0010101010101011   |
|   0101010101010101   |   1101010101010110   |   0   |   1   |   0   |   0   |   1   |   1   |   0   |   0   |   0111111111111111   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   0   |   1   |   1   |   1   |   0   |   1   |   1000000000000001   |
|   0101010101010101   |   1101010101010110   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0   |   0101010101010100   |
|   0101010101010101   |   1101010101010110   |   0   |   1   |   0   |   1   |   0   |   1   |   0   |   1   |   1101010101010111   |
