| time  | reset |ARegis|DRegis|      PC[]       |
| 0     |   0   | 0000 | 0000 | 000000000000000 |
| 1     |   0   | 0010 | 0000 | 000000000000001 |
| 2     |   0   | 0010 | 0000 | 000000000000010 |
| 3     |   0   | 0011 | 0000 | 000000000000011 |
| 4     |   0   | 0011 | 0000 | 000000000000100 |
| 5     |   0   | 0011 | 0000 | 000000000000101 |
| 6     |   0   | 0011 | 0001 | 000000000000110 |
| 7     |   0   | 0064 | 0001 | 000000000000111 |
| 8     |   0   | 0064 | ff9d | 000000000001000 |
| 9     |   0   | 0012 | ff9d | 000000000001001 |
| 10    |   0   | 0012 | ff9d | 000000000001010 |
| 11    |   0   | 0011 | ff9d | 000000000001011 |
| 12    |   0   | 0011 | 0001 | 000000000001100 |
| 13    |   0   | 0010 | 0001 | 000000000001101 |
| 14    |   0   | 0010 | 0001 | 000000000001110 |
| 15    |   0   | 0011 | 0001 | 000000000001111 |
| 16    |   0   | 0011 | 0001 | 000000000010000 |
| 17    |   0   | 0004 | 0001 | 000000000010001 |
| 18    |   0   | 0004 | 0001 | 000000000000100 |
| 19    |   0   | 0011 | 0001 | 000000000000101 |
| 20    |   0   | 0011 | 0002 | 000000000000110 |
| 21    |   0   | 0064 | 0002 | 000000000000111 |
| 22    |   0   | 0064 | ff9e | 000000000001000 |
| 23    |   0   | 0012 | ff9e | 000000000001001 |
| 24    |   0   | 0012 | ff9e | 000000000001010 |
| 25    |   0   | 0011 | ff9e | 000000000001011 |
| 26    |   0   | 0011 | 0002 | 000000000001100 |
| 27    |   0   | 0010 | 0002 | 000000000001101 |
| 28    |   0   | 0010 | 0002 | 000000000001110 |
| 29    |   0   | 0011 | 0002 | 000000000001111 |
| 30    |   0   | 0011 | 0002 | 000000000010000 |
| 31    |   0   | 0004 | 0002 | 000000000010001 |
| 32    |   0   | 0004 | 0002 | 000000000000100 |
| 33    |   0   | 0011 | 0002 | 000000000000101 |
| 34    |   0   | 0011 | 0003 | 000000000000110 |
| 35    |   0   | 0064 | 0003 | 000000000000111 |
| 36    |   0   | 0064 | ff9f | 000000000001000 |
| 37    |   0   | 0012 | ff9f | 000000000001001 |
| 38    |   0   | 0012 | ff9f | 000000000001010 |
| 39    |   0   | 0011 | ff9f | 000000000001011 |
| 40    |   0   | 0011 | 0003 | 000000000001100 |
| 41    |   0   | 0010 | 0003 | 000000000001101 |
| 42    |   0   | 0010 | 0003 | 000000000001110 |
| 43    |   0   | 0011 | 0003 | 000000000001111 |
| 44    |   0   | 0011 | 0003 | 000000000010000 |
| 45    |   0   | 0004 | 0003 | 000000000010001 |
| 46    |   0   | 0004 | 0003 | 000000000000100 |
| 47    |   0   | 0011 | 0003 | 000000000000101 |
| 48    |   0   | 0011 | 0004 | 000000000000110 |
| 49    |   0   | 0064 | 0004 | 000000000000111 |
| 50    |   0   | 0064 | ffa0 | 000000000001000 |
| 51    |   0   | 0012 | ffa0 | 000000000001001 |
| 52    |   0   | 0012 | ffa0 | 000000000001010 |
| 53    |   0   | 0011 | ffa0 | 000000000001011 |
| 54    |   0   | 0011 | 0004 | 000000000001100 |
| 55    |   0   | 0010 | 0004 | 000000000001101 |
| 56    |   0   | 0010 | 0004 | 000000000001110 |
| 57    |   0   | 0011 | 0004 | 000000000001111 |
| 58    |   0   | 0011 | 0004 | 000000000010000 |
| 59    |   0   | 0004 | 0004 | 000000000010001 |
| 60    |   0   | 0004 | 0004 | 000000000000100 |
| 61    |   0   | 0011 | 0004 | 000000000000101 |
| 62    |   0   | 0011 | 0005 | 000000000000110 |
| 63    |   0   | 0064 | 0005 | 000000000000111 |
| 64    |   0   | 0064 | ffa1 | 000000000001000 |
| 65    |   0   | 0012 | ffa1 | 000000000001001 |
| 66    |   0   | 0012 | ffa1 | 000000000001010 |
| 67    |   0   | 0011 | ffa1 | 000000000001011 |
| 68    |   0   | 0011 | 0005 | 000000000001100 |
| 69    |   0   | 0010 | 0005 | 000000000001101 |
| 70    |   0   | 0010 | 0005 | 000000000001110 |
| 71    |   0   | 0011 | 0005 | 000000000001111 |
| 72    |   0   | 0011 | 0005 | 000000000010000 |
| 73    |   0   | 0004 | 0005 | 000000000010001 |
| 74    |   0   | 0004 | 0005 | 000000000000100 |
| 75    |   0   | 0011 | 0005 | 000000000000101 |
| 76    |   0   | 0011 | 0006 | 000000000000110 |
| 77    |   0   | 0064 | 0006 | 000000000000111 |
| 78    |   0   | 0064 | ffa2 | 000000000001000 |
| 79    |   0   | 0012 | ffa2 | 000000000001001 |
| 80    |   0   | 0012 | ffa2 | 000000000001010 |
| 81    |   0   | 0011 | ffa2 | 000000000001011 |
| 82    |   0   | 0011 | 0006 | 000000000001100 |
| 83    |   0   | 0010 | 0006 | 000000000001101 |
| 84    |   0   | 0010 | 0006 | 000000000001110 |
| 85    |   0   | 0011 | 0006 | 000000000001111 |
| 86    |   0   | 0011 | 0006 | 000000000010000 |
| 87    |   0   | 0004 | 0006 | 000000000010001 |
| 88    |   0   | 0004 | 0006 | 000000000000100 |
| 89    |   0   | 0011 | 0006 | 000000000000101 |
| 90    |   0   | 0011 | 0007 | 000000000000110 |
| 91    |   0   | 0064 | 0007 | 000000000000111 |
| 92    |   0   | 0064 | ffa3 | 000000000001000 |
| 93    |   0   | 0012 | ffa3 | 000000000001001 |
| 94    |   0   | 0012 | ffa3 | 000000000001010 |
| 95    |   0   | 0011 | ffa3 | 000000000001011 |
